"title","location","date"
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1948-12-18
"The Consul General at Batavia (Livengood) to the Secretary of State 1","Batavia",1948-12-18
"The Consul General at Batavia (Livengood) to the Secretary of State 1","Batavia",1948-12-18
"The Chargé in the Netherlands (Steere) to the Secretary of State 1","The Hague",1948-12-18
"The Chargé in the Netherlands (Steere) to the Secretary of State 1","The Hague",1948-12-18
"The Acting Secretary of State to the Acting United States Representative at the United Nations (Jessup) at Paris 1","Washington",1948-12-18
"Memorandum of Conversation, by the Assistant Chief of the Division of Southeast Asian Affairs (Lacy)","Washington",1948-12-19
"The Ambassador in France (Caffery) to the Secretary of State 1","Paris",1948-12-19
"The Consul General at Batavia (Livengood) to the Secretary of State 1","Batavia",1948-12-19
"The Consul General at Batavia (Livengood) to the Secretary of State 1","Batavia",1948-12-20
"The Acting Secretary of State to the Acting United States Representative at the United Nations (Jessup) at Paris 1","Washington",1948-12-19
"The Acting Secretary of State to the Acting United States Representative at the United Nations (Jessup) at Paris","Washington",1948-12-19
"Memorandum of Conversation, by the Acting Secretary of State","Washington",1948-12-20
"The Ambassador in France (Caffery) to the Secretary of State 1","Paris",1948-12-20
"Memorandum of Conversation, by the Acting Secretary of State","Washington",1948-12-20
"Memorandum of Conversation, by the Acting Secretary of State 1","Washington",1948-12-20
"The Acting Secretary of State to the Consulate General at Batavia 1","Washington",1948-12-20
"Memorandum of Conversation, by the Acting Secretary of State","Washington",1948-12-21
"The Consul General at Batavia (Livengood) to the Secretary of State 1","Batavia",1948-12-21
"The Ambassador in the Netherlands (Baruch) to the Secretary of State 1","The Hague",1948-12-21
"The Acting Secretary of State to the Acting United States Representative at the United Nations (Jessup) at Paris 1","Washington",1948-12-23
"The Acting Secretary of State to the Acting United States Representative at the United Nations (Jessup) at Paris 1","Washington",1948-12-23
"Memorandum by the Director of the Office of United Nations Affairs (Rush) to the Acting Secretary of State","Washington",1948-12-24
"Memorandum of Conversation, by the Acting Secretary of State","Washington",1948-12-24
"The Acting Secretary of State to the Embassy in the United Kingdom 1","Washington",1948-12-24
"The Acting Secretary of State to the Acting United States Representative at the United Nations (Jessup) at Paris","Washington",1948-12-24
"The Ambassador in the Netherlands (Baruch) to the Secretary of State","The Hague",1948-12-24
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1948-12-25
"The Chargé in the United Kingdom (Holmes) to the Secretary of State 1","London",1948-12-25
"The Ambassador in the Netherlands (Baruch) to the Secretary of State","The Hague",1948-12-26
"The Acting Secretary of State to the Embassy in France","Washington",1948-12-26
"The Chargé in Pakistan (Lewis) to the Secretary of State","Karachi",1948-12-27
"Memorandum by Mr. Soemitro Djojohadikoesoemo to the Acting Secretary of State","New York",1948-12-27
"The Ambassador in France (Caffery) to the Secretary of State 1","Paris",1948-12-27
"The Acting Secretary of State to the Acting United States Representative at the United Nations (Jessup) at Paris 1","Washington",1948-12-27
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1948-12-28
"The Ambassador in France (Caffery) to the Secretary of State 1","Paris",1948-12-28
"The Ambassador in the Netherland (Baruch) to the Secretary of State","The Hague",1948-12-29
"The Acting Secretary of State to the Embassy in the Soviet Union","Washington",1948-12-30
"The Acting Secretary of State to Certain Diplomatic and Consular Officers Abroad 1","Washington",1948-12-31
"The Ambassador in the Netherlands (Baruch) to the Secretary of State","The Hague",1948-12-31
"The Ambassador in the Netherlands (Baruch) to the Secretary of State","The Hague",1948-12-31
"The Acting Secretary of State to the Consulate General at Batavia","Washington",1948-12-31
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1949-01-03
"Memorandum of Conversation, by the Acting Assistant Chief of the Division of South Asian Affairs (Sparks)1","Washington",1949-01-03
"The Consul General at Batavia (Livengood) to the Secretary of State 2","Batavia",1949-01-03
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1949-01-04
"Memorandum of Conversation, by the Acting Secretary of State","Washington",1949-01-04
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1949-01-04
"The Acting Secretary of State to the Consul General at Batavia (Livengood)","Washington",1949-01-05
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1949-01-06
"The Acting Secretary of State to the United States Representative at the United Nations (Austin)","Washington",1949-01-06
"The Acting Secretary of State to the United States Representative at the United Nations (Austin)","Washington",1949-01-06
"The Consul General at Batavia (Livengood) to the Acting Secretary of State 1","Batavia",1949-01-07
"Memorandum by the Director of the Office of Far Eastern Affairs (Butterworth) to the Counselor of the Department (Bohlen)","Washington",1949-01-07
"The Consul General at Batavia (Livengood) to the Acting Secretary of State","Batavia",1949-01-08
"The British Embassy to the Department of State 5","Washington",1949-01-10
"The Consul General at Batavia (Livengood) to the Acting Secretary of State","Batavia",1949-01-10
"The Acting Secretary of State to the Acting Political Adviser in Japan (Sebald)","Washington",1949-01-10
"Memorandum of Conversation, by the Acting Secretary of State","Washington",1949-01-11
"The Consul General at Batavia (Livengood) to the Acting Secretary of State","Batavia",1949-01-11
"The Acting Secretary of State to the Embassy in the Philippines","Washington",1949-01-11
"The Consul General at Batavia (Livengood) to the Acting Secretary of State","Batavia",1949-01-12
"The Consul General at Batavia (Livengood) to the Acting Secretary of State 1","Batavia",1949-01-12
"The Acting United States Representative at the United Nations (Jessup) to the Acting Secretary of State","New York",1949-01-12
"The Acting United States Representative at the United Nations (Jessup) to the Acting Secretary of State","New York",1949-01-12
"The Chargé in the Soviet Union (Kohler) to the Secretary of State","Moscow",1949-01-13
"The Consul General at Batavia (Livengood) to the Acting Secretary of State","Batavia",1949-01-14
"The Consul General at Batavia (Livengood) to the Acting Secretary of State 1","Batavia",1949-01-14
"The Consul General at Batavia (Livengood) to the Acting Secretary of State 1","Batavia",1949-01-14
"The Chargé in the Philippines (Lockett) to the Acting Secretary of State","Manila",1949-01-15
"The Consul General at Batavia (Livengood) to the Acting Secretary of State","Batavia",1949-01-15
"The Consul General at Batavia (Livengood) to the Acting Secretary of State 1","Batavia",1949-01-16
"The Ambassador in the Netherlands (Baruch) to the Acting Secretary of State","The Hague",1949-01-17
"The Acting United States Representative at the United Nations (Jessup) to the Acting Secretary of State 1","New York",1949-01-17
"The Consul General at Batavia (Livengood) to the Acting Secretary of State 1","Batavia",1949-01-18
"The Acting United States Representative at the United Nations (Jessup) to the Acting Secretary of State 1","New York",1949-01-17
"Memorandum by the Director of the Office of United Nations Affairs (Rusk)1","Washington",1949-01-18
"Memorandum of Telephone Conversation, by the Acting Chief of the Division of United Nations Political Affairs (Bancroft)","Washington",1949-01-18
"The Ambassador in Belgium (Kirk) to the Acting Secretary of State","Brussels",1949-01-18
"The Acting United States Representative at the United Nations (Jessup) to the Acting Secretary of State 1","New York",1949-01-18
"The Acting United States Representative at the United Nations (Jessup) to the Acting Secretary of State","New York",1949-01-18
"The Consul General at Batavia (Livengood) to the Acting Secretary of State","Batavia",1949-01-19
"The United States Representative at the United Nations (Austin) to the Acting Secretary of State","New York",1949-01-19
"The Acting Secretary of State to the Embassy in Belgium 1","Washington",1949-01-19
"The Acting Secretary of State to the Embassy in the Netherlands","Washington",1949-01-19
"The Consul General at Batavia (Livengood) to the Acting Secretary of State","Batavia",1949-01-20
"The Ambassador in the Netherlands (Baruch) to the Acting Secretary of State","The Hague",1949-01-20
"The Ambassador in the Netherlands (Baruch) to the Acting Secretary of State","The Hague",1949-01-20
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1949-01-21
"The Ambassador in Belgium (Kirk) to the Secretary of State","Brussels",1949-01-22
"The Secretary of State to the Embassy in the Netherlands 1","Washington",1949-01-22
"The Consul General at Batavia (Livengood) to the Secretary of State 1","Batavia",1949-01-23
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1949-01-24
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1949-01-25
"The Acting United States Representative at the United Nations (Jessup) to the Secretary of State 1","New York",1949-01-26
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1949-01-31
"The Secretary of State to the Embassy in the Netherlands","Washington",1949-01-31
"The Secretary of State to the Embassy in Belgium 1","Washington",1949-01-31
"The Secretary of State to the Consulate General at Batavia","Washington",1949-01-31
"The British Embassy to the Department of State 1","Washington",1949-02-01
"The Chargé in the United Kingdom (Holmes) to the Secretary of State","London",1949-02-01
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1949-02-02
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1949-02-02
"Memorandum of Conversation, by the Chief of the Division of Southeast Asian Affairs (Reed)","Washington",1949-02-03
"The Secretary of State to the Embassy in the Netherlands 1","Washington",1949-02-03
"The Consul General at Batavia (Livengood) to the Secretary of State 1","Batavia",1949-02-04
"The Ambassador in the Netherlands (Baruch) to the Secretary of State 1","The Hague",1949-02-04
"The United States Representative at the United Nations (Austin) to the Secretary of State","New York",1949-02-04
"The Secretary of State to the Embassy in the Netherlands 1","Washington",1949-02-05
"The Consul General at Batavia (Livengood) to the Secretary of State 1","Batavia",1949-02-07
"The Consul General at Batavia (Livengood) to the Secretary of State 1","Batavia",1949-02-08
"The Consul General at Batavia (Livengood) to the Secretary of State 1","Batavia",1949-02-09
"The Ambassador in Belgium (Kirk) to the Secretary of State","Brussels",1949-02-09
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1949-02-10
"Memorandum by the Director of the Office of European Affairs (Hickerson)1","Washington",1949-02-11
"Memorandum of Conversation, by the Director of the Office of Far Eastern Affairs (Butterworth)","Washington",1949-02-11
"The Ambassador in the Netherlands (Baruch) to the Secretary of State","The Hague",1949-02-12
"The Consul General at Batavia (Livengood) to the Secretary of State 1","Batavia",1949-02-13
"The Secretary of State to the Consulate General at Batavia 1","Washington",1949-02-14
"The Ambassador in China (Stuart) to the Secretary of State","Nanking",1949-02-15
"The Consul General at Batavia (Livengood) to the Secretary of State 1","Batavia",1949-02-15
"The Consul General at Batavia (Livengood) to the Secretary of State 1","Batavia",1949-02-16
"The Secretary of State to the Consulate General at Batavia 1","Washington",1949-02-16
"The Ambassador in the Netherlands (Baruch) to the Secretary of State","The Hague",1949-02-17
"Memorandum of Conversation, by Mr. Joseph W. Scott, of the Office of European Affairs","Washington",1949-02-17
"The Consul General at Batavia (Livengood) to the Secretary of State 1","Batavia",1949-02-18
"The Ambassador in the United Kingdom (Douglas) to the Secretary of State 1","London",1949-02-18
"The Consul General at Batavia (Livengood) to the Secretary of State 1","Batavia",1949-02-19
"Current Economic Developments","Washington",1949-02-21
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1949-02-22
"Memorandum of Conversation, by the Chief of the Division of South-east Asian Affairs (Reed)","Washington",1949-02-23
"The Department of State to the Netherlands Embassy 1","Washington",1949-02-23
"Memorandum of Conversation, by the Assistant Secretary of State for United Nations Affairs (Rusk)","Washington",1949-02-23
"The Ambassador in the Netherlands (Baruch) to the Secretary of State","The Hague",1949-02-23
"The Ambassador in the Netherlands (Baruch) to the Secretary of State","The Hague",1949-02-23
"The Secretary of State to the Consulate General at Batavia 1","Washington",1949-02-24
"Memorandum of Conversation, by the Chief of the Division of Southeast Asian Affairs (Reed)","Washington",1949-02-25
"The Consul General at Batavia (Livengood) to the Secretary of State 1","Batavia",1949-02-25
"The Consul General at Batavia (Livengood) to the Secretary of State 1","Batavia",1949-02-25
"The Ambassador in the Netherlands (Baruch) to the Secretary of State 1","The Hague",1949-02-25
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1949-02-26
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1949-02-26
"The Consul General at Batavia (Livengood) to the Secretary of State 1","Batavia",1949-02-26
"The Consul General at Batavia (Livengood) to the Secretary of State 1","Batavia",1949-02-26
"The Secretary of State to the Consulate General at Batavia 1","Washington",1949-02-26
"The Consul General at Batavia (Livengood) to the Secretary of State 1","Batavia",1949-02-27
"The Ambassador in Belgium (Kirk) to the Secretary of State 1","Brussels",1949-02-28
"The Consul General at Batavia (Livengood) to the Secretary of State 1","Batavia",1949-03-01
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1949-03-01
"The Consul General at Batavia (Livengood) to the Secretary of State 1","Batavia",1949-03-01
"The Ambassador in the Netherlands (Baruch) to the Secretary of State 1","The Hague",1949-03-01
"The Secretary of State to the Consulate General at Batavia 1","Washington",1949-03-01
"The Department of State to the Indian Embassy 1","Washington",1949-03-02
"The Consul General at Batavia (Livengood) to the Secretary of State 1","Batavia",1949-03-02
"The United States Representative at the United Nations (Austin) to the Secretary of State 1","New York",1949-03-02
"The Ambassador in the Netherlands (Baruch) to the Secretary of State","The Hague",1949-03-03
"The Consul General at Batavia (Livengood) to the Secretary of State 1","Batavia",1949-03-03
"The Secretary of State to the Embassy in the Netherlands 1","Washington",1949-03-03
"The Department of State to the British Embassy 1 Aide-mémoire","Washington",1949-03-04
"The Secretary of State to the Embassy in the Netherlands 1","Washington",1949-03-04
"The Secretary of State to the Embassy in the United Kingdom","Washington",1949-03-04
"The Secretary of State to the Embassy in the Netherlands 1","Washington",1949-03-05
"The Ambassador in the Netherlands (Baruch) to the Secretary of State 1","The Hague",1949-03-06
"Memorandum of Conversation, by the Assistant Chief of the Division of Northern European Affairs (Nolting)","Washington",1949-03-07
"The Ambassador in the United Kingdom (Douglas) to the Secretary of State","London",1949-03-07
"The Secretary of State to the United States Representative at the United Nations (Austin)1","Washington",1949-03-07
"The Consul General at Batavia (Livengood) to the Secretary of State 1","Batavia",1949-03-08
"The Ambassador in China (Stuart) to the Secretary of State","Nanking",1949-03-08
"The Secretary of State to the Consulate General at Batavia 1","Washington",1949-03-08
"The United States Representative at the United Nations (Austin) to the Secretary of State","New York",1949-03-08
"The Ambassador in the Netherlands (Baruch) to the Secretary of State","The Hague",1949-03-09
"The Consul General at Batavia (Livengood) to the Secretary of State 1","Batavia",1949-03-10
"The Ambassador in the Netherlands (Baruch) to the Secretary of State 1","The Hague",1949-03-10
"The Ambassador in the Netherlands (Baruch) to the Secretary of State 1","The Hague",1949-03-10
"The United States Representative at the United Nations (Austin) to the Secretary of State 1","New York",1949-03-10
"The Secretary of State to the Consulate General at Batavia","Washington",1949-03-10
"The Consul General of Batavia (Livengood) to the Secretary of State 1","Batavia",1949-03-11
"The Department of State to the Netherlands Embassy 1","Washington",1949-03-12
"The Consul General at Batavia (Livengood) to the Secretary of State 1","Batavia",1949-03-12
"The Secretary of State to the Embassy in the Netherlands","Washington",1949-03-12
"The Secretary of State to the Consulate General at Batavia 1","Washington",1949-03-12
"The Ambassador in the Netherlands (Baruch) to the Secretary of State 1","The Hague",1949-03-14
"The Ambassador in the United Kingdom (Douglas) to the Secretary of State","London",1949-03-16
"The Ambassador in India (Henderson) to the Secretary of State","New Delhi",1949-03-16
"The Ambassador in the Netherlands (Baruch) to the Secretary of State 1","The Hague",1949-03-17
"The Netherlands Ambassador (Van Kleffens) to the Secretary of State","Washington",1949-03-18
"The Ambassador in Belgium (Kirk) to the Secretary of State","Brussels",1949-03-19
"Memorandum by the Assistant Secretary of State for United Nations Affairs (Rusk) to the Secretary of State 1","Washington",1949-03-21
"Draft Statement on Indonesia for the UNCFI, Batavia","New York",1949-03-21
"Memorandum by Mr. John G. Ross, Deputy to the United States Representative at the United Nations (Austin)1","New York",1949-03-21
"The United States Representative at the United Nations (Austin) to the Secretary of State 1","New York",1949-03-21
"The United States Representative at the United Nations (Austin) to the Secretary of State 1","New York",1949-03-21
"The Ambassador in the Netherlands (Baruch) to the Secretary of State 1","The Hague",1949-03-22
"The United States Representative at the United Nations (Austin) to the Secretary of State","New York",1949-03-22
"The United States Representative at the United Nations (Austin) to the Secretary of State","New York",1949-03-22
"Memorandum of Conversation, by the Assistant Chief of the Division of Northern European Affairs (Nolting)","Washington",1949-03-24
"The United States Representative at the United Nations (Austin) to the Secretary of State 1","New York",1949-03-24
"The Secretary of State to the Embassy in India 1","Washington",1949-03-24
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1949-03-25
"The Consul General at Batavia (Livengood) to the Secretary of State 1","Batavia",1949-03-26
"The Consul General at Batavia (Livengood) to the Secretary of State 1","Batavia",1949-03-27
"The Ambassador in the United Kingdom (Douglas) to the Secretary of State","London",1949-03-27
"The Consul General at Batavia (Livengood) to the Secretary of State 1","Batavia",1949-03-28
"The Secretary of State to the Consulate General at Batavia","Washington",1949-03-28
"Policy Planning Staff Paper on United States Policy Toward Southeast Asia 2","Washington",1949-03-29
"The Ambassador in the United Kingdom (Douglas) to the Secretary of State","London",1949-03-29
"The Consul General at Batavia (Livengood) to the Secretary of State 1","Batavia",1949-03-29
"The Secretary of State to the Acting Political Adviser in Japan (Sebald)","Washington",1949-03-29
"The Ambassador in China (Stuart) to the Secretary of State","Nanking",1949-03-30
"The Consul General at Batavia (Livengood) to the Secretary of State 1","Batavia",1949-03-30
"Memorandum of Conversation, by the Secretary of State","Washington",1949-03-31
"Memorandum of Conversation, by the Secretary of State","Washington",1949-04-01
"The Consul General at Batavia (Livengood) to the Secretary of State 1","Batavia",1949-04-02
"The Secretary of State to the Consulate General at Batavia 1","Washington",1949-04-02
"The Secretary of State to the Consulate General at Batavia 1","Washington",1949-04-02
"The Consul General at Batavia (Livengood) to the Secretary of State 1","Batavia",1949-04-03
"Memorandum of Conversation, by Mr. Jacob D. Beam, Acting Special Assistant in the Office of German and Austrian Affairs","Washington",1949-04-04
"Memorandum of Conversation, by the Secretary of State 2","Washington",1949-04-04
"The Ambassador in the Netherlands (Baruch) to the Secretary of State 1","The Hague",1949-04-06
"The Secretary of State to the Consulate General at Batavia 1","Washington",1949-04-07
"The Ambassador in the Netherlands (Baruch) to the Secretary of State 1","The Hague",1949-04-08
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1949-04-11
"Memorandum of Conversation, by Mr. John Foster Dulles of the United States Delegation to the U.N. General Assembly","New York",1949-04-12
"The Consul General at Batavia (Livengood) to the Secretary of State 1","Batavia",1949-04-12
"Memorandum of Conversation, by Mr. John Foster Dulles of the United States Delegation to the U.N. General Assembly","New York",1949-04-13
"The Consul General at Batavia (Livengood) to the Secretary of State 1","Batavia",1949-04-13
"The Consul General at Batavia (Livengood) to the Secretary of State 1","Batavia",1949-04-14
"The Consul General at Batavia (Livengood) to the Secretary of State 1","Batavia",1949-04-16
"Report by the SANACC Subcommittee for the Near and Middle East 2","Washington",1949-04-19
"The Consul General at Batavia (Livengood) to the Secretary of State 1","Batavia",1949-04-19
"The Consul General at Batavia (Livengood) to the Secretary of State 1","Batavia",1949-04-20
"The Secretary of State to the Consulate General at Batavia 1","Washington",1949-04-20
"The Consul General at Batavia (Livengood) to the Secretary of State 1","Batavia",1949-04-21
"The Consul General at Batavia (Livengood) to the Secretary of State 1","Batavia",1949-04-21
"The Consul General al Batavia (Livengood) to the Secretary of State 1","Batavia",1949-04-24
"The Consul General at Batavia (Livengood) to the Secretary of State 1","Batavia",1949-04-25
"The Ambassador in the United Kingdom (Douglas) to the Secretary of State","London",1949-04-26
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1949-04-27
"The Secretary of State to the Embassy in the Netherlands 1","Washington",1949-04-27
"The Consul General at Batavia (Livengood) to the Secretary of State 1","Batavia",1949-04-28
"The Consul General at Batavia (Livengood) to the Secretary of State 1","Batavia",1949-05-01
"The Consul General at Batavia (Livengood) to the Secretary of State 1","Batavia",1949-05-01
"The Ambassador in India (Henderson) to the Secretary of State","New Delhi",1949-05-02
"Position Paper Prepared by the United States Delegation to the United Nations General Assembly","New York",1949-05-03
"The Secretary of State to the Consulate General at Batavia 1","Washington",1949-05-03
"The Secretary of State to the Embassy in India 1","Washington",1949-05-03
"The Consul General at Batavia (Livengood) to the Secretary of State 1","Batavia",1949-05-04
"The Consul General at Batavia (Livengood) to the Secretary of State 1","Batavia",1949-05-05
"The Chargé in Australia (Foster) to the Secretary of State","Canberra",1949-05-05
"The Consul General at Batavia (Livengood) to the Secretary of State 1","Batavia",1949-05-06
"The Ambassador in the Netherlands (Baruch) to the Secretary of State","The Hague",1949-05-06
"The Secretary of State to the Embassy in Australia 1","Washington",1949-05-06
"The Consul General at Batavia (Livengood) to the Secretary of State 1","Batavia",1949-05-07
"The Consul General at Batavia (Livengood) to the Secretary of State 1","Batavia",1949-05-07
"Transcript of Conversation","Washington",1949-05-11
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1949-05-11
"The Secretary of State to the Embassy in Australia","Washington",1949-05-13
"The Ambassador in the Netherlands (Baruch) to the Secretary of State 1","The Hague",1949-05-19
"The Secretary of State to the Consulate General at Batavia","Washington",1949-05-19
"The Consul General at Batavia (Livengood) to the Secretary of State 1","Batavia",1949-05-25
"The Consul General at Batavia (Livengood) to the Secretary of State 1","Batavia",1949-05-26
"The Ambassador in China (Stuart) to the Secretary of State","Nanking",1949-06-06
"The Consul General at Batavia (Livengood) to the Secretary of State 1","Batavia",1949-06-08
"The Acting Secretary of State to the Consulate General at Batavia 1","Washington",1949-06-08
"The Acting Secretary of State to the Consulate General at Batavia 1","Washington",1949-06-08
"The Ambassador in the Netherlands (Baruch) to the Secretary of State 1","The Hague",1949-06-09
"The Acting Secretary of State to the Consulate General at Batavia 1","Washington",1949-06-10
"The Consul General at Batavia (Livengood) to the Secretary of State 1","Batavia",1949-06-11
"The Consul General at Batavia (Livengood) to the Secretary of State 1","Batavia",1949-06-13
"The Consul General at Batavia (Livengood) to the Secretary of State 1","Batavia",1949-06-13
"The Acting Secretary of State to the Consulate General at Batavia 1","Washington",1949-06-13
"The Acting Secretary of State to the Embassy in the Netherlands 1","Washington",1949-06-14
"The Ambassador in the Netherlands (Baruch) to the Secretary of State 1","The Hague",1949-06-15
"The Acting Secretary of State to the Consulate General at Batavia 1","Washington",1949-06-15
"The Consul General at Batavia (Livengood) to the Secretary of State 1","Batavia",1949-06-16
"The Consul General at Batavia (Livengood) to the Secretary of State 1","Batavia",1949-06-16
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1949-06-17
"The Chairman of the National Security Resources Board (Steelman) to the Secretary of State","Washington",1949-06-17
"The Ambassador in the Netherlands (Baruch) to the Secretary of State 1","The Hague",1949-06-17
"The Acting Secretary of State to the Consulate General at Batavia 1","Washington",1949-06-17
"The Consul General at Batavia (Livengood) to the Secretary of State 1","Batavia",1949-06-18
"The Consul General at Batavia (Livengood) to the Secretary of State 1","Batavia",1949-06-19
"The Consul General at Batavia (Livengood) to the Secretary of State 1","Batavia",1949-06-21
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1949-06-22
"The Ambassador in London (Douglas) to the Secretary of State","London",1949-06-24
"The Secretary of State to the Consulate General at Batavia 1","Washington",1949-06-24
"Memorandum by the Department of the Army to the Department of State 1","Washington",1949-06-27
"The Secretary of State to the Consulate General at Batavia","Washington",1949-06-28
"The Consul General at Batavia (Livengood) to the Secretary of State 1","Batavia",1949-07-07
"Memorandum by the Director of the Policy Planning Staff (Kennan)1","Washington",1949-07-08
"The Ambassador in the Netherlands (Baruch) to the Secretary of State","The Hague",1949-07-09
"The Secretary of State to the Consulate General at Batavia 1","Washington",1949-07-11
"The Secretary of State to the Consulate General at Batavia 1","Washington",1949-07-11
"The Consul General at Batavia (Livengood) to the Secretary of State 1","Batavia",1949-07-12
"The Chargé in the Philippines (Lockett) to the Secretary of State","Manila",1949-07-13
"The Chargé in the Philippines (Lockett) to the Secretary of State","Manila",1949-07-14
"Memorandum by the Policy Information Officer of the Office of Far Eastern Affairs (Fisher) to the Director of the Office (Butterworth)","Washington",1949-07-15
"The Consul at Taipei (Edgar) to the Secretary of State","Taipei",1949-07-18
"The Chargé in the Netherlands (Steere) to the Secretary of State 1","The Hague",1949-07-18
"The Minister-Counselor of Embassy in China (Clark) to the Secretary of State","Canton",1949-07-19
"The Consul General at Batavia (Livengood) to the Secretary of State 1","Batavia",1949-07-20
"The Secretary of State to the Consulate General at Batavia 1","Washington",1949-07-21
"The Secretary of State to the Consulate General at Batavia 1","Washington",1949-07-21
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1949-07-29
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1949-07-31
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1949-08-01
"The Consul General at Batavia (Livengood) to the Secretary of State 1","Batavia",1949-08-04
"The Chargé in China (Clark) to the Secretary of State","Canton",1949-08-04
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1949-08-06
"The Ambassador in the Netherlands (Baruch) to the Secretary of State","The Hague",1949-08-09
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1949-08-12
"The Ambassador in the Netherlands (Baruch) to the Secretary of State","The Hague",1949-08-19
"The Secretary of State to the Embassy in the Netherlands 1","Washington",1949-08-19
"The Ambassador in the Netherlands (Baruch) to the Secretary of State","The Hague",1949-08-20
"The Secretary of State to the Embassy in the Netherlands","Washington",1949-08-23
"The Consul at Batavia (Abbey) to the Secretary of State","Batavia",1949-08-29
"The Chargé in the Netherlands (Steere) to the Secretary of State","The Hague",1949-08-29
"The Secretary of State to the Embassy in the Netherlands","Washington",1949-08-29
"The Consul General at Singapore (Langdon) to the Secretary of State","Singapore",1949-09-07
"Memorandum of Conversation, by Mr. Marshall Green of the Division of Northeast Asian Affairs 1","Washington",1949-09-09
"Memorandum of Conversation, by the Assistant Secretary of State for Far Eastern Affairs (Butterworth)","Washington",1949-09-09
"Memorandum of Conversation, by the Director of the Office of Far Eastern Affairs (Butterworth)","Washington",1949-09-12
"Memorandum of Conversation, by the Assistant Chief of the Division of Southeast Asian Affairs (Lacy)1","Washington",1949-09-14
"The Secretary of State to the Embassy in the Netherlands","Washington",1949-09-14
"The Chargé in the Netherlands (Steere) to the Secretary of State","The Hague",1949-09-15
"Report by Mr. Charles W. Yost, Special Assistant to the Ambassador at Large (Jessup)","Washington",1949-09-16
"The Netherlands Minister for Foreign Affairs (Stikker) to the Secretary of State 1","Washington",1949-09-16
"The Chargé in the Netherlands (Steere) to the Secretary of State","The Hague",1949-09-16
"The Secretary of State to the Embassy in the Netherlands","Washington",1949-09-16
"Memorandum of Conversation, by the Secretary of State","Washington",1949-09-17
"Memorandum of Conversation, by Mr. F. D. Collins of the Division of South Asian Affairs","Washington",1949-09-19
"United States Delegation Working Paper","New York",1949-09-19
"The Chargé in the Netherlands (Steere) to the Secretary of State","The Hague",1949-09-19
"The Acting Secretary of State to the Embassy in the Netherlands","Washington",1949-09-22
"The Chargé in the Netherlands (Steere) to the Secretary of State","The Hague",1949-09-23
"The Chargé in the Netherlands (Steere) to the Secretary of State","The Hague",1949-09-26
"Memorandum by Mr. James L. O’Sullivan, of the Division of Southeast Asian Affairs, on Preliminary Talks as to Indochina 1","Washington",1949-09-28
"The Acting Secretary of State to the Embassy in the Netherlands","Washington",1949-09-29
"The Acting Secretary of State to the Embassy in the Netherlands","Washington",1949-09-29
"The Acting Secretary of State to the Embassy in the Netherlands","Washington",1949-09-30
"The Chargé in the Netherlands (Steere) to the Secretary of State 1","The Hague",1949-10-08
"The Acting Secretary of State to the Embassy in the Netherlands 1","Washington",1949-10-07
"The Chargé in the Netherlands (Steere) to the Secretary of State 1","The Hague",1949-10-08
"The Chargé in the Netherlands (Steere) to the Secretary of State 1","The Hague",1949-10-08
"The Acting Secretary of State to the Embassy in the Netherlands 1","Washington",1949-10-08
"The Chargé in the Netherlands (Steere) to the Secretary of State 1","The Hague",1949-10-09
"Memorandum by the Assistant Secretary of State for European Affairs (Perkins) to the Secretary of State 1","Washington",1949-10-10
"The Chargé in the Netherlands (Steere) to the Secretary of State","The Hague",1949-10-10
"The Chargé in the Netherlands (Steere) to the Secretary of State","The Hague",1949-10-10
"The Consul at Batavia (Abbey) to the Secretary of State","Batavia",1949-10-11
