"title","location","date"
"
                                The Secretary of State
                                    to the Consulate General at
                                    Batavia
                                1
                            ","
                                        Washington","September 8, 1948—7 p. m."
"
                                The Secretary of State
                                    to the Consulate General at
                                    Batavia
                            ","
                                        Washington","September 9, 1948—6 p. m."
"
                                The Secretary of State
                                    to the Embassy in the Netherlands
                                
                            ","
                                        Washington","September 9, 1948—6 p. m."
"
                                The Secretary of State
                                    to the Embassy in Belgium
                                
                            ","
                                        Washington","September 9, 1948—6 p. m."
"
                                The Ambassador in the Netherlands (Baruch) to the Secretary of State
                                
                            ","
                                        The Hague","September 10, 1948—6 p. m."
"
                                The Ambassador in Belgium (Kirk) to the Secretary of State
                                
                                1
                            ","
                                        Brussels","September 10, 1948—8 p. m."
"
                            The Ambassador in Belgium (Kirk) to
                                the Secretary of State
                            
                        ","
                                    Brussels","September
                                    10, 1948—9 p. m."
"
                                The Secretary of State
                                    to the Consulate General at
                                    Batavia
                            ","
                                        Washington","September 10, 1948—5 p.m."
"
                                The Consul General at Batavia (Livengood) to the Secretary of State
                                
                                1
                            ","
                                        Batavia","September 11, 1948—5 p. m."
"
                                The Consul General at Batavia (Livengood) to the Secretary of State
                                
                                1
                            ","
                                        Batavia","September 13, 1948—8 p. m."
"
                                The Consul General at Batavia (Livengood) to the Secretary of State
                                
                                1
                            ","
                                        Batavia","September 13, 1948—9 p. m."
"
                                The Secretary of State
                                    to the Consulate General at
                                    Batavia
                            ","
                                        Washington","September 13, 1948—3 p. m."
"
                                The Secretary of State
                                    to the Embassy in the Netherlands
                                
                            ","
                                        Washington","September 14, 1948—6 p. m."
"
                                The Consul General at Batavia (Livengood) to the Secretary of State
                                
                            ","
                                        Batavia","September 15, 1948—7 p. m."
"
                                The Secretary of State
                                    to the Consulate General at
                                    Batavia
                            ","
                                        Washington","September 16, 1948—7 p. m."
"
                                Memorandum of Conversation, by the Secretary of
                                    State
                            ","Washington","September 17, 1948"
"
                                Memorandum of Conversation, by the Under Secretary
                                    of State (Lovett)","Washington","September 17, 1948"
"
                                Memorandum of Conversation, Prepared in the Office
                                    of Far Eastern Affairs
                            ","Washington","September 17 [and 18],
                                    1948"
"
                                The Consul General at Batavia (Livengood) to the Secretary of State
                                
                            ","
                                        Batavia","September 17, 1948—2 p. m."
"
                                The Consul General at Batavia (Livengood) to the Secretary of State
                                
                            ","
                                        Batavia","September 17, 1948—4 p. m. [a.
                                        m.?]"
"
                                The Consul General at Batavia (Livengood) to the Secretary of State
                                
                            ","
                                        Batavia","September 18, 1948—6 p. m."
"
                                The Secretary of State
                                    to the Consulate General at
                                    Batavia
                            ","
                                        Washington","September 18, 1948—4 p. m."
"
                                The Consul General at Batavia (Livengood) to the Secretary of State
                                
                            ","
                                        Batavia","September 19, 1948—3 p. m."
"
                                The Consul General at Batavia (Livengood) to the Secretary of State
                                
                            ","
                                        Batavia","September 19, 1948—4 p. m."
"
                                The Consul General at Batavia (Livengood) to the Secretary of State
                                
                            ","
                                        Batavia","September 20,
                                        1948"
"
                                The Consul General at Batavia (Livengood) to the Secretary of State
                                
                                1
                            ","
                                        Batavia","September 20, 1948—11 p. m."
"
                                The Acting Secretary of
                                        State to the Consulate
                                        General at Batavia
                            ","
                                        Washington","September 20, 1948—4 p. m."
"
                                The Consul General at Batavia (Livengood) to the Secretary of State
                                
                                1
                            ","
                                        Batavia","September 21, 1948—9 a. m."
"
                                Memorandum of Conversation, by the Director of the
                                    Office of Far Eastern Affairs (Butterworth)","Washington","September 22, 1948"
"
                                The Acting Secretary of
                                        State to the Consulate General at
                                        Saigon
                                
                            ","
                                        Washington","September 22, 1948—6. p. m."
"
                                The Consul General at Batavia (Livengood) to the Secretary of State
                                
                                1
                            ","
                                        Batavia","September 23, 1948—11 a. m."
"
                                Memorandum Prepared for the Acting Secretary of
                                    State
                                1
                            ","Washington","September 23, 1948"
"
                                Memorandum of Conversation, by the Director of the
                                    Office of Far Eastern Affairs (Butterworth)","Washington","September 23, 1948"
"
                                The Consul General at Batavia (Livengood) to the Secretary of State
                                
                            ","
                                        Batavia","September 23, 1948—2 p. m."
"
                            Minutes of the Third Meeting of the United States
                                Delegation, Paris Hotel d’Iéna, September 23, 1948, 9:15 a. m.
                        ","Paris","September 23, 1948, 9:15 a.m."
"
                                The Consul General at Batavia (Livengood) to the Secretary of State
                                
                            ","
                                        Batavia","September 23, 1948—6 p. m."
"
                            Memorandum of Conversation, by Mr. G. Hayden Raynor of
                                the Advisory Staff of the United States Delegation
                        ","Paris","September 24, 1948"
"
                                Memorandum of Conversation, by the Chief of the
                                    Division of Southeast Asian Affairs (Reed)","Washington","September 24, 1948"
"
                                The Consul General at Batavia (Livengood) to the Secretary of State
                                
                                1
                            ","
                                        Batavia","September 25, 1948—1 p. m."
"
                                The Consul General at Batavia (Livengood) to the Secretary of State
                                
                                1
                            ","
                                        Batavia","September 25, 1948—2 p. m."
"
                                The Consul General at Batavia (Livengood) to the Secretary of State
                                
                            ","
                                        Batavia","September 25, 1948—6 p. m."
"
                                The Consul General at Batavia (Livengood) to the Secretary of State
                                
                            ","
                                        Batavia","September 26, 1948—6 p. m."
"
                                The Consul General at Batavia (Livengood) to the Secretary of State
                                
                                1
                            ","
                                        Batavia","September 26, 1948—7 p. m."
"
                                The Ambassador in the Netherlands (Baruch) to the Secretary of State
                                
                                1
                            ","
                                        The Hague","September 26, 1948—9 p. m."
"
                                The Ambassador in the Netherlands (Baruch) to the Secretary of State
                                
                            ","
                                        The Hague","September 27, 1948—1 p. m."
"
                                The Acting Secretary of
                                        State to the Consulate
                                        General at Batavia
                            ","
                                        Washington","September 27, 1948—6 p. m."
"
                                The Consul General at Batavia (Livengood) to the Secretary of State
                                
                            ","
                                        Batavia","September 28, 1948—6 p. m."
"
                                The Acting Secretary of
                                        State to the Consulate
                                        General at Batavia
                            ","
                                        Washington","September 29, 1948—noon"
"
                                The Acting Secretary of
                                        State to the Embassy in
                                        France
                                
                                1
                            ","
                                        Washington","October 1, 1948—5 p. m."
"
                                The Acting Secretary of
                                        State to the Consulate
                                        General at Batavia
                                1
                            ","
                                        Washington","October 1, 1948—7 p. m."
"
                                The Acting Secretary of
                                        State to the Consulate
                                        General at Batavia
                            ","
                                        Washington","October 1, 1948—7 p. m."
"
                                Memorandum of Conversation, by the Counselor of
                                    the Department of State (Bohlen)1
                            ","Paris","October 4, 1948"
"
                                The Consul General at Batavia (Livengood) to the Secretary of State
                                
                            ","
                                        Batavia","October 5, 1948—8 a. m."
"
                                The Consul General at Batavia (Livengood) to the Secretary of State
                                
                            ","
                                        Batavia","October 5, 1948—5 p. m."
"
                                The Acting Secretary of
                                        State to the Consulate
                                        General at Batavia
                            ","
                                        Washington","October 6, 1948—5 p. m."
"
                                The Acting Secretary of
                                        State to the Embassy in the
                                        Netherlands
                                
                            ","
                                        Washington","October 6, 1948—6 p. m."
"
                                The Acting Secretary of
                                        State to the Consulate
                                        General at Batavia
                            ","
                                        Washington","October 7, 1948—11 a. m."
"
                                Memorandum of Conversation, by the Acting Chief of
                                    the Division of United Nations Political Affairs (Bancroft)","Paris","October 8, 1948"
"
                                The Consul General at Batavia (Livengood) to the Secretary of State
                                
                            ","
                                        Batavia","October 8, 1948—3 p. m."
"
                                The Ambassador in the Netherlands (Baruch) to the Secretary of State
                                
                                1
                            ","
                                        The Hague","October 8, 1948—4 p. m."
"
                                The Ambassador in the Netherlands (Baruch) to the Secretary of State
                                
                                1
                            ","
                                        The Hague","October 8, 1948—7 p. m."
"
                                The Acting Secretary of
                                        State to the Consulate
                                        General at Batavia
                                1
                            ","
                                        Washington","October 8, 1948—7 p. m."
"
                                The Consul General at Batavia (Livengood) to the Secretary of State
                                
                            ","
                                        Batavia","October 10, 1948—10 p. m."
"
                                The Acting Secretary of
                                        State to the Embassy in the
                                        Netherlands
                                
                                1
                            ","
                                        Washington","October 10, 1948—4 p. m."
"
                                The Acting Secretary of
                                        State to the Consulate
                                        General at Batavia
                                1
                            ","
                                        Washington","October 11, 1948—7 p. m."
"
                                The Acting Secretary of
                                        State to the Consulate
                                        General at Batavia
                            ","
                                        Washington","October 11, 1948—7 p. m."
"
                                The Consul General at Batavia (Livengood) to the Secretary of State
                                
                                1
                            ","
                                        Batavia","October 12, 1948—5 p. m."
"
                                The Consul General at Batavia (Livengood) to the Secretary of State
                                
                                1
                            ","
                                        Batavia","October 12, 1948—10 p. m."
"
                                The Consul General at Batavia (Livengood) to the Secretary of State
                                
                            ","
                                        Batavia","October 13, 1948—midnight"
"
                                The Acting Secretary of
                                        State to the Consulate
                                        General at Batavia
                                1
                            ","
                                        Washington","October 12, 1948—7 p. m."
"
                                The Acting Secretary of
                                        State to the Consulate
                                        General at Batavia
                            ","
                                        Washington","October 12, 1948—8 p. m."
"
                                The Acting Secretary of
                                        State to the Embassy in the
                                        Netherlands
                                
                            ","
                                        Washington","October 12, 1948—8 p. m."
"
                    Memorandum Prepared in the Department of State
                ",NA,"undated"
"
                                The Secretary of State
                                    to the Acting Secretary of State
                                
                            ","
                                        Paris","October 13, 1948—4 p. m."
"
                                The Ambassador in the Netherlands (Baruch) to the Secretary of State
                                
                            ","
                                        The Hague","October 13, 1948—4 p. m."
"
                                The Acting Secretary of
                                        State to the Consulate
                                        General at Batavia
                            ","
                                        Washington","October 13, 1948—noon"
"
                                The Acting Secretary of
                                        State to the Consulate
                                        General at Batavia
                            ","
                                        Washington","October 13, 1948—2 p. m."
"
                                The Consul General at Batavia (Livengood) to the Secretary of State
                                
                                1
                            ","
                                        Batavia","October 14, 1948—10 p. m."
"
                                The Consul General at Batavia (Livengood) to the Secretary of State
                                
                            ","
                                        Batavia","October 15, 1948—noon"
"
                                The Secretary of State
                                    to the Acting Secretary of State
                                
                                1
                            ","
                                        Paris","October 15, 1948—7 p. m."
"
                                The Acting Secretary of
                                        State to the Embassy in
                                        France
                                
                                1
                            ","
                                        Washington","October 16, 1948—3 p. m."
"
                                The Secretary of State
                                    to the Acting Secretary of State
                                
                            ","
                                        Paris","October 16, 1948—10 p. m."
"
                                The Consul General at Batavia (Livengood) to the Secretary of State
                                
                                1
                            ","
                                        Batavia","October 19, 1948—10 p. m."
"
                                The Consul General at Batavia (Livengood) to the Secretary of State
                                
                            ","
                                        Batavia","October 20, 1948—8 p. m."
"
                                The Consul General at Batavia (Livengood) to
                                    the Secretary of State
                                
                                1
                            ","
                                        Batavia","October 23, 1948—1 p. m."
"
                                The Consul General at Batavia (Livengood) to the Secretary of State
                                
                                1
                            ","
                                        Batavia","October 23, 1948—5 p. m."
"
                                The Ambassador in the Netherlands (Baruch) to the Secretary of State
                                
                                1
                            ","
                                        The Hague","October 25, 1948—5 p. m."
"
                                The Consul General at Batavia (Livengood) to the Secretary of State
                                
                            ","
                                        Batavia","October 26, 1948—2 p. m."
"
                                The Ambassador in the Netherlands (Baruch) to the Secretary of State
                                
                            ","
                                        The Hague","October 28, 1948—5 p. m."
"
                                The Acting Secretary of
                                        State to the Consulate
                                        General at Batavia
                                1
                            ","
                                        Washington","October 28, 1948—7 p. m."
"
                                The Acting Secretary of
                                        State to the Consulate
                                        General at Batavia
                            ","
                                        Washington","October 28, 1948—7 p. m."
"
                                The Consul General at Batavia (Livengood) to the Secretary of State
                                
                            ","
                                        Batavia","October 29, 1948—11 p. m."
"
                                The Consul General at Batavia (Livengood) to the Secretary of State
                                
                            ","
                                        Batavia","October 30, 1948—10 p. m."
"
                                The Ambassador in the Netherlands (Baruch) to the Secretary of State
                                
                                1
                            ","
                                        The Hague","October 30, 1948—4 p. m."
"
                                The Ambassador in the Netherlands (Baruch) to the Secretary of State
                                
                                1
                            ","
                                        The Hague","October 30, 1948—7 p. m."
"
                                The Consul General at Batavia (Livengood) to the Secretary of State
                                
                            ","
                                        Batavia","November 1,
                                        1948"
"
                                The Consul General at Batavia (Livengood) to
                                    the Secretary of State
                                
                            ","
                                        Batavia","November 1, 1948—8 p. m."
"
                                The Consul General at Batavia (Livengood) to the Secretary of State
                                
                            ","
                                        Batavia","November 2, 1948—11 p. m."
"
                                The Consul General at Batavia (Livengood) to the Secretary of State
                                
                            ","
                                        Batavia","November 4, 1948—3 p. m."
"
                                The Consul General at Batavia (Livengood) to the Secretary of State
                                
                            ","
                                        Batavia","November 4, 1948—4 p. m."
"
                                The Consul General at Batavia (Livengood) to the Secretary of State
                                
                                1
                            ","
                                        Batavia","November 6, 1948—midnight"
"
                                The Acting Secretary of
                                        State to the Consulate General at
                                        Batavia
                                
                            ","
                                        Washington","November 5, 1948—7 p. m."
"
                                The Acting Secretary of
                                        State to the Consulate General at
                                        Batavia
                                
                            ","
                                        Washington","November 5, 1948—7 p. m."
"
                                The Acting Secretary of
                                        State to the Consulate General at
                                        Batavia
                                
                            ","
                                        Washington","November 5, 1948—7 p. m."
"
                                The Consul General at Batavia (Livengood) to the Secretary of State
                                
                            ","
                                        Batavia","November 6, 1948—5 p. m."
"
                                The Consul General at Batavia (Livengood) to the Secretary of State
                                
                                1
                            ","
                                        Batavia","November 6, 1948—11 p. m."
"
                                The Consul General at Batavia (Livengood) to the Secretary of State
                                
                                1
                            ","
                                        Batavia","November 7, 1948—10 p. m."
"
                                The Consul General at Batavia (Livengood) to the Secretary of State
                                
                                1
                            ","
                                        Batavia","November 8, 1948—1 a. m."
"
                                The Consul General at Batavia (Livengood) to the Secretary of State
                                
                            ","
                                        Batavia","November 9, 1948—4 p. m."
"
                                The Consul General at Batavia (Livengood) to the Secretary of State
                                
                                1
                            ","
                                        Batavia","November 10, 1948—8 p. m."
"
                                The Secretary of State
                                    to the Acting Secretary of State
                                
                            ","
                                        Paris","November 10, 1948—9 p. m."
"
                                The Acting Secretary of
                                        State to the Embassy in the
                                        Netherlands
                                
                            ","
                                        Washington","November 10, 1948—5 p. m."
"
                                The Acting Secretary of
                                        State to the Consulate General at
                                        Batavia
                                
                            ","
                                        Washington","November 10, 1948—7 p. m."
"
                                The Consul General at Batavia (Livengood) to the Secretary of State
                                
                                1
                            ","
                                        Batavia","November 11, 1948—3 p. m."
"
                                The Consul General at Batavia (Livengood) to the Secretary of State
                                
                                1
                            ","
                                        Batavia","November 13, 1948—10 a. m."
"
                                The Consul General at Batavia (Livengood) to the Secretary of State
                                
                            ","
                                        Batavia","November 16, 1948—3 p. m."
"
                                The Ambassador in the Netherlands (Baruch) to the Secretary of State
                                
                            ","
                                        The Hague","November 16, 1948—9 p. m."
"
                                The Acting Secretary of
                                        State to the Embassy in
                                        France
                                
                            ","
                                        Washington","November 17, 1948—3 p. m."
"
                                The Consul General at Batavia (Livengood) to the Secretary of State
                                
                            ","
                                        Batavia","November 18, 1948—noon"
"
                                The Consul General at Batavia (Livengood) to the Secretary of State
                                
                                1
                            ","
                                        Batavia","November 18,
                                        1948"
"
                                The Ambassador in the Netherlands (Baruch) to the Secretary of State
                                
                            ","
                                        The Hague","November 18, 1948—6 p. m."
"
                                The Acting Secretary of
                                        State to the Consulate General at
                                        Batavia
                                
                                1
                            ","
                                        Washington","November 18, 1948—7 p. m."
"
                                The Consul General at Batavia (Livengood) to the Secretary of State
                                
                            ","
                                        Batavia","November 19,
                                        1948"
"
                                The Consul General at Batavia (Livengood) to the Secretary of State
                                
                            ","
                                        Batavia","November 19, 1948—4 p. m."
"
                                The Consul General at Batavia (Livengood) to the Secretary of State
                                
                            ","
                                        Batavia","November 20,
                                        1948"
"
                            The Ambassador in China (Stuart) to
                                the Secretary of State
                            
                        ","
                                    Nanking","November
                                    21, 1948—2 p. m."
"
                                The Acting Secretary of
                                        State to the Consulate General at
                                        Batavia
                                
                                1
                            ","
                                        Washington","November 22, 1948—4 p. m."
"
                                The Acting Secretary of
                                        State to the Consulate General at
                                        Batavia
                                
                                1
                            ","
                                        Washington","November 22, 1948—4 p. m."
"
                                The Consul General at Batavia (Livengood) to the Secretary of State
                                
                                1
                            ","
                                        Batavia","November 25, 1948—9 p. m."
"
                                The Consul General at Batavia (Livengood) to the Secretary of State
                                
                            ","
                                        Batavia","November 26, 1948—5 p. m."
"
                                The Consul General at Batavia (Livengood) to the Secretary of State
                                
                            ","
                                        Batavia","November 29, 1948—3 p. m."
"
                                The Consul General at Batavia (Livengood) to the Secretary of State
                                
                            ","
                                        Batavia","December 1, 1948—11 a. m."
"
                                The Consul General at Batavia (Livengood) to the Secretary of State
                                
                            ","
                                        Batavia","December 1, 1948—6 p. m."
"
                                The Consul General at Batavia (Livengood) to the Secretary of State
                                
                            ","
                                        Batavia","December 2, 1948—3 p. m."
"
                                The Consul General at Batavia (Livengood) to the Secretary of State
                                
                            ","
                                        Batavia","December 3, 1948—1 a. m."
"
                                The Acting Secretary of
                                        State to the Consulate General at
                                        Batavia
                                
                            ","
                                        Washington","December 2, 1948—3 p. m."
"
                                The Consul General at Batavia (Livengood) to the Secretary of State
                                
                                1
                            ","
                                        Batavia","December 4, 1948—2 a. m."
"
                                The Acting Secretary of
                                        State to the Consulate General at
                                        Batavia
                                
                                1
                            ","
                                        Washington","December 3, 1948—6 p. m."
"
                                The Consul General at Batavia (Livengood) to the Secretary of State
                                
                                1
                            ","
                                        Batavia","December 4, 1948—9 p. m."
"
                                The Acting Secretary of
                                        State to the Consulate General at
                                        Batavia
                                
                            ","
                                        Washington","December 4, 1948—5 p. m."
"
                                The Consul General at Batavia (Livengood) to the Secretary of State
                                
                                1
                            ","
                                        Batavia","December 5, 1948—5 p. m."
"
                                The Consul General at Batavia (Livengood) to the Secretary of State
                                
                                1
                            ","
                                        Batavia","December 5, 1948—11 p. m."
"
                                The Chargé in the Netherlands (Steere) to the Secretary of State
                                
                                1
                            ","
                                        The Hague","December 6, 1948—6 p. m."
"
                                The Acting Secretary of
                                        State to the Consulate General at
                                        Batavia
                                
                                1
                            ","
                                        Washington","December 6, 1948—7 p. m."
"
                                The Acting Secretary of
                                        State to the Consulate General at
                                        Batavia
                                
                                1
                            ","
                                        Washington","December 6, 1948—7 p. m."
"
                                The Department of State
                                    to the Netherlands Embassy
                                
                                1
                            ","Washington","December 7,
                                        1948"
"
                                The Netherlands Ambassador (Van Kleffens) to the Acting Secretary of
                                        State
                                
                            ","
                                        Washington","December 7,
                                        1948"
"
                                The Chargé in the Netherlands (Steere) to the Secretary of State
                                
                                1
                            ","
                                        The Hague","December 7, 1948—6 p. m."
"
                                The, Acting United States Representative at the
                                    United Nations (Dulles) to the Secretary of State
                                
                                1
                            ","
                                        Paris","December 8, 1948—2 p. m."
"
                                The Chargé in the Netherlands (Steere) to the Secretary of State
                                
                                1
                            ","
                                        The Hague","December 8, 1948—7 p. m."
"
                                The Consul General at Batavia (Livengood) to the Secretary of State
                                
                                1
                            ","
                                        Batavia","December 9, 1948—5 p. m."
"
                                The Acting Secretary of
                                        State to the Embassy in
                                        Belgium
                                
                            ","
                                        Washington","December 9, 1948—6 p. m."
"
                                The Chargé in the Netherlands (Steere) to the Secretary of State
                                
                                1
                            ","
                                        The Hague","December 10, 1948—1 a. m."
"
                                The Netherlands Embassy
                                    to the Department of State
                                
                                1
                            ","Washington","December 10,
                                        1948"
"
                                The Chargé in the Netherlands (Steere) to the Secretary of State
                                
                                1
                            ","
                                        The Hague","December 10, 1948—2 p. m."
"
                                The Consul General at Batavia (Livengood) to the Secretary of State
                                
                                1
                            ","
                                        Batavia","December 11, 1948—3 p. m."
"
                                The Consul General at Batavia (Livengood) to the Secretary of State
                                
                                1
                            ","
                                        Batavia","December 12, 1948—4 p. m."
"
                                Memorandum Prepared for the Acting Secretary of
                                    State
                                1
                            ","Washington","December 13, 1948"
"
                                The Consul General at Batavia (Livengood) to the Secretary of State
                                
                            ","
                                        Batavia","December 13, 1948—11 p. m."
"
                                The Acting Secretary of
                                        State to the Consulate General at
                                        Batavia
                                
                                1
                            ","
                                        Washington","December 13, 1948—8 p. m."
"
                                The Consul General at Batavia (Livengood) to the Secretary of State
                                
                                1
                            ","
                                        Batavia","December 14, 1948—2 p. m."
"
                                The Ambassador in Belgium (Kirk) to the Secretary of State
                                
                            ","
                                        Brussels","December 14, 1948—8 p. m."
"
                                The Acting United States Representative at the
                                    United Nations (Jessup) to the Secretary of State
                                
                                1
                            ","
                                        Paris","December 14, 1948—11 p. m."
